brand;model;body;year;mileage;fuel;seller;transmission;city;color;price
mitsubishi;pajero-2000-2011;suv;2002;1 KM;diesel;dealer;automatic;Cebu City;n/a;300000
toyota;wigo;hatchback;2018;13,835 KM;gasoline;dealer;automatic;Quezon City;n/a;455000
toyota;wigo;hatchback;2019;6,972 KM;gasoline;dealer;automatic;Quezon City;Black;485000
toyota;hilux;pickup-trucks;2017;30,000 KM;diesel;dealer;automatic;Quezon City;Black;998000
toyota;fortuner;suv;2018;n/a;diesel;dealer;automatic;Manila;White;1390000
toyota;vios;sedan;2018;1,900 KM;gasoline;dealer;automatic;Manila;Black;605000
toyota;vios;sedan;2018;1,800 KM;gasoline;dealer;automatic;Manila;Black;595000
toyota;vios;sedan;2018;1,500 KM;gasoline;dealer;automatic;Manila;Red;625000
chevrolet;colorado;pickup-trucks;2017;1 KM;diesel;dealer;automatic;Manila;Silver / Grey;968000
toyota;vios;sedan;2017;29,000 KM;gasoline;dealer;automatic;Makati;Green;538000
toyota;vios;sedan;2018;400 KM;gasoline;dealer;automatic;Manila;Silver / Grey;625000
toyota;hiace-2015-2018;van;2018;12,000 KM;diesel;dealer;automatic;Quezon City;Silver / Grey;1588000
toyota;innova;mpv;2019;2,800 KM;diesel;dealer;automatic;Manila;Black;1145000
toyota;vios;sedan;2019;1,500 KM;gasoline;dealer;automatic;Manila;Red;770000
chevrolet;sail;sedan;2017;7,000 KM;gasoline;dealer;automatic;Makati;Black;522000
toyota;yaris;hatchback;2017;26,818 KM;gasoline;dealer;automatic;Quezon City;Black;580000
chevrolet;sail;sedan;2017;3,000 KM;gasoline;dealer;automatic;Makati;White;478000
toyota;avanza-2015-2018;mpv;2018;n/a;gasoline;dealer;automatic;Quezon City;Black;625000
hyundai;grand-starex;van;2018;19,517 KM;diesel;dealer;automatic;Manila;Black;1688000
toyota;vios;sedan;2019;5,000 KM;gasoline;dealer;automatic;Quezon City;Blue;735000
toyota;vios;sedan;2019;2,400 KM;gasoline;dealer;automatic;Quezon City;Red;570000
toyota;wigo;hatchback;2019;3,300 KM;gasoline;dealer;automatic;Quezon City;White;495000
toyota;fortuner;suv;2018;11,800 KM;diesel;dealer;automatic;Quezon City;Silver / Grey;1330000
toyota;fortuner;suv;2017;6,800 KM;diesel;dealer;automatic;Manila;Black;1400000
hyundai;tucson;crossover;2018;20,000 KM;diesel;dealer;automatic;Quezon City;Blue;1218000
toyota;vios;sedan;2019;1,300 KM;gasoline;dealer;automatic;Quezon City;White;595000
toyota;hiace-2015-2018;van;2018;22,000 KM;diesel;dealer;automatic;Quezon City;White;1720000
toyota;vios;sedan;2019;2,400 KM;gasoline;dealer;automatic;Quezon City;Red;595000
toyota;vios;sedan;2019;9,153 KM;gasoline;dealer;automatic;Makati;n/a;750000
mercedes-benz;gle-class;suv;2017;1 KM;gasoline;dealer;automatic;Quezon City;n/a;8800000
toyota;vios;sedan;2017;1,900 KM;gasoline;dealer;automatic;Manila;Silver / Grey;625000
